operator_id,incoming_calls,incoming_missed_calls,missed_rate_in,avg_wait_time_in,outgoing_calls,ineffective
879896,60,0.0,0.0,10.316666666666666,1071.0,False
879898,118,0.0,0.0,15.296610169491526,7856.0,False
880020,8,0.0,0.0,7.25,46.0,False
880022,8,0.0,0.0,14.0,211.0,False
880026,25,0.0,0.0,6.0,2414.0,False
880028,70,0.0,0.0,5.685714285714287,2836.0,False
882476,3,0.0,0.0,31.666666666666668,0.0,False
882478,3,0.0,0.0,25.333333333333332,1.0,True
882680,109,3.0,0.027522935779816515,15.660550458715594,0.0,False
882684,643,4.0,0.006220839813374806,15.505443234836703,721.0,False
882686,837,6.0,0.007168458781362007,14.415770609318997,3094.0,False
882688,20,0.0,0.0,42.65,62.0,True
882690,176,2.0,0.011363636363636364,40.88636363636363,1590.0,True
883940,8,0.0,0.0,12.5,686.0,False
883942,99,0.0,0.0,6.606060606060605,2228.0,False
884294,1,0.0,0.0,6.0,0.0,False
884408,41,4.0,0.0975609756097561,26.195121951219512,25.0,True
884412,20,0.0,0.0,41.0,843.0,True
884478,25,0.0,0.0,13.8,2336.0,False
884524,3,0.0,0.0,10.333333333333334,0.0,False
884946,12,0.0,0.0,13.25,2030.0,False
885876,1152,24.0,0.020833333333333332,9.114583333333334,64897.0,False
885890,1363,27.0,0.019809244314013204,9.09391049156273,64653.0,False
886146,1,0.0,0.0,9.0,51.0,False
886674,14,0.0,0.0,13.785714285714286,0.0,False
886892,2,0.0,0.0,29.0,0.0,False
887276,458,3.0,0.006550218340611353,28.026200873362445,963.0,False
887278,54,0.0,0.0,17.203703703703702,274.0,False
887282,29,0.0,0.0,45.55172413793103,2423.0,True
887416,22,0.0,0.0,16.772727272727266,0.0,False
887802,20,0.0,0.0,12.9,125.0,False
888406,9,1.0,0.1111111111111111,28.333333333333332,6.0,True
888520,6,0.0,0.0,15.666666666666666,0.0,False
888532,12,2.0,0.16666666666666666,24.083333333333332,206.0,True
888534,61,2.0,0.03278688524590164,28.78688524590164,337.0,False
888536,2,0.0,0.0,21.5,58.0,False
888538,1,0.0,0.0,24.0,6.0,False
