operator_id,incoming_calls,incoming_missed_calls,missed_rate_in,avg_wait_time_in,outgoing_calls,ineffective
882478,3,0.0,0.0,25.333333333333332,1.0,True
882688,20,0.0,0.0,42.65,62.0,True
882690,176,2.0,0.011363636363636364,40.88636363636363,1590.0,True
884408,41,4.0,0.0975609756097561,26.195121951219512,25.0,True
884412,20,0.0,0.0,41.0,843.0,True
887282,29,0.0,0.0,45.55172413793103,2423.0,True
888406,9,1.0,0.1111111111111111,28.333333333333332,6.0,True
888532,12,2.0,0.16666666666666666,24.083333333333332,206.0,True
888868,23,1.0,0.043478260869565216,19.91304347826087,54.0,True
890226,4,0.0,0.0,22.5,3.0,True
890228,6,1.0,0.16666666666666666,17.333333333333332,103.0,True
891900,36,0.0,0.0,37.166666666666664,0.0,True
891918,7,0.0,0.0,31.857142857142858,1.0,True
892536,17,0.0,0.0,36.294117647058826,17.0,True
892798,1,0.0,0.0,43.0,36.0,True
893172,43,0.0,0.0,23.139534883720927,3.0,True
893400,3,0.0,0.0,23.333333333333332,3.0,True
894120,24,1.0,0.041666666666666664,20.541666666666668,0.0,True
894224,17,1.0,0.058823529411764705,9.294117647058824,33.0,True
894230,6,1.0,0.16666666666666666,15.833333333333334,15.0,True
894232,5,1.0,0.2,11.2,16.0,True
894614,8,1.0,0.125,14.375,0.0,True
895140,4,0.0,0.0,38.0,0.0,True
895266,3,0.0,0.0,12.333333333333334,1.0,True
895598,3,0.0,0.0,6.0,2.0,True
895776,12,1.0,0.08333333333333333,14.583333333333334,252.0,True
896538,14,1.0,0.07142857142857142,47.5,0.0,True
897872,4,1.0,0.25,20.5,53.0,True
899268,32,2.0,0.0625,20.8125,0.0,True
899900,3,0.0,0.0,62.333333333333336,0.0,True
900192,2,0.0,0.0,5.0,1.0,True
900194,61,3.0,0.04918032786885246,21.885245901639344,49.0,True
900492,18,1.0,0.05555555555555555,14.555555555555555,258.0,True
900746,26,2.0,0.07692307692307693,23.5,51.0,True
900792,1,0.0,0.0,34.0,8.0,True
901492,39,0.0,0.0,24.128205128205128,3.0,True
901498,5,0.0,0.0,53.0,0.0,True
902238,1,0.0,0.0,8.0,1.0,True
903512,28,0.0,0.0,42.5,0.0,True
904016,55,2.0,0.03636363636363636,19.0,5120.0,True
904344,7,6.0,0.8571428571428571,13.285714285714283,5.0,True
905300,29,6.0,0.20689655172413793,22.413793103448278,0.0,True
905478,1,0.0,0.0,36.0,0.0,True
905566,47,2.0,0.0425531914893617,16.95744680851064,910.0,True
905842,2,0.0,0.0,115.5,1251.0,True
905862,112,15.0,0.13392857142857142,11.339285714285714,1.0,True
906070,361,2.0,0.00554016620498615,37.819944598337955,89.0,True
906076,24,0.0,0.0,50.958333333333336,1.0,True
906392,19,7.0,0.3684210526315789,13.421052631578949,61.0,True
906402,7,0.0,0.0,46.285714285714285,17.0,True
906410,244,9.0,0.036885245901639344,25.81967213114754,21.0,True
906412,26,7.0,0.2692307692307692,15.384615384615385,328.0,True
906418,5,0.0,0.0,14.6,4.0,True
906680,215,2.0,0.009302325581395349,36.95348837209303,170.0,True
907174,10,0.0,0.0,62.3,2863.0,True
907618,1,0.0,0.0,35.0,0.0,True
907952,51,2.0,0.0392156862745098,20.529411764705884,194.0,True
908080,7,0.0,0.0,14.571428571428571,1.0,True
908152,15,0.0,0.0,40.0,0.0,True
908162,3,0.0,0.0,53.0,0.0,True
908300,5,0.0,0.0,56.2,0.0,True
908834,23,0.0,0.0,33.95652173913044,2.0,True
909134,215,1.0,0.004651162790697674,35.455813953488374,6.0,True
909768,14,0.0,0.0,42.0,0.0,True
909892,4,0.0,0.0,10.5,4.0,True
910226,8,2.0,0.25,16.5,0.0,True
910958,13,0.0,0.0,54.53846153846154,0.0,True
911102,36,3.0,0.08333333333333333,29.86111111111111,0.0,True
911142,26,3.0,0.11538461538461539,45.61538461538461,0.0,True
912684,28,1.0,0.03571428571428571,36.07142857142857,0.0,True
913474,2,0.0,0.0,37.0,11.0,True
913886,2,1.0,0.5,13.5,0.0,True
914170,15,0.0,0.0,11.799999999999988,4.0,True
914256,25,0.0,0.0,15.32,1.0,True
914426,3,0.0,0.0,23.0,4.0,True
914440,30,1.0,0.03333333333333333,19.1,1.0,True
914870,5,0.0,0.0,16.8,4.0,True
917252,7,0.0,0.0,38.0,14.0,True
917680,2,0.0,0.0,100.0,43.0,True
917858,1,0.0,0.0,14.0,4.0,True
917876,9,0.0,0.0,13.88888888888889,2.0,True
918888,8,1.0,0.125,9.375,3.0,True
918956,2,0.0,0.0,34.5,17.0,True
918958,2,0.0,0.0,37.0,8.0,True
918988,1,0.0,0.0,13.0,1.0,True
919206,999,12.0,0.012012012012012012,7.947947947947948,1.0,True
919214,21,0.0,0.0,27.142857142857142,1.0,True
919218,21,1.0,0.047619047619047616,13.476190476190482,304.0,True
919552,1239,1.0,0.0008071025020177562,34.152542372881356,70.0,True
919896,8,2.0,0.25,13.625,0.0,True
919994,21,0.0,0.0,42.523809523809526,0.0,True
920706,81,6.0,0.07407407407407407,23.679012345679013,171.0,True
920902,59,1.0,0.01694915254237288,47.33898305084746,21.0,True
920930,1,0.0,0.0,62.0,0.0,True
921814,52,4.0,0.07692307692307693,6.807692307692308,48.0,True
922114,1,0.0,0.0,61.0,12.0,True
923254,1,0.0,0.0,45.0,9.0,True
924928,33,1.0,0.030303030303030304,37.72727272727273,59.0,True
924930,22,1.0,0.045454545454545456,21.272727272727273,246.0,True
924934,5,0.0,0.0,38.4,621.0,True
924936,8,2.0,0.25,19.25,0.0,True
924948,17,1.0,0.058823529411764705,18.058823529411764,265.0,True
924954,20,1.0,0.05,32.3,120.0,True
926490,11,1.0,0.09090909090909091,22.363636363636363,144.0,True
926872,25,3.0,0.12,0.8000000000000006,7.0,True
927070,42,0.0,0.0,44.0,0.0,True
927142,4,0.0,0.0,3.75,3.0,True
927912,17,1.0,0.058823529411764705,2.7058823529411766,0.0,True
928092,5,0.0,0.0,47.2,0.0,True
928382,12,1.0,0.08333333333333333,3.1666666666666665,11.0,True
929340,8,0.0,0.0,43.625,0.0,True
929622,14,0.0,0.0,14.499999999999996,4.0,True
930020,89,5.0,0.056179775280898875,8.191011235955058,602.0,True
930242,4,1.0,0.25,17.25,0.0,True
930326,11,0.0,0.0,11.818181818181818,1.0,True
930510,2,0.0,0.0,22.0,2.0,True
930690,2,0.0,0.0,6.5,4.0,True
930814,12,0.0,0.0,15.583333333333334,3.0,True
930816,4,0.0,0.0,12.75,1.0,True
930820,5,0.0,0.0,14.2,2.0,True
932754,2,0.0,0.0,5.5,3.0,True
933986,16,1.0,0.0625,12.0625,10.0,True
934000,8,0.0,0.0,15.25,2.0,True
934076,11,1.0,0.09090909090909091,28.272727272727273,0.0,True
934098,6,2.0,0.3333333333333333,26.5,0.0,True
934188,6,0.0,0.0,17.333333333333332,2.0,True
934430,31,2.0,0.06451612903225806,27.29032258064516,0.0,True
934432,9,0.0,0.0,36.0,0.0,True
935956,2,0.0,0.0,52.5,1.0,True
